,Pos,Players,INNs,GS,QS,CG,W,L,S,BS,K,BBI,HA,ERA,WHIP,Roto Rank,ER,Status,Name,Elig,Team,Owner
5,SP,Alex Wood SP | SF,92,17,4,0,7,5,0,0,88,27,83,3.42,1.20,194,34.96,Start,Alex Wood,SP,SF,Lima Time
6,RP,"Jorge Lopez RP,SP | BAL",17,0,0,0,1,1,13,3,19,8,17,4.76,1.47,552,8.99111111111111,Start,Jorge Lopez,"RP,SP",BAL,Lima Time
7,RP,Taylor Rogers RP | SD,35,0,0,0,1,1,20,4,43,8,26,3.09,0.97,223,12.016666666666666,Start,Taylor Rogers,RP,SD,Lima Time
8,RP,Paul Sewald RP | SEA,36,0,0,0,1,1,14,4,45,12,22,3.25,0.94,307,13.0,Start,Paul Sewald,RP,SEA,Lima Time
9,SP,Nathan Eovaldi SP | BOS,95,16,8,1,5,4,0,0,89,21,87,3.50,1.14,245,36.94444444444444,Bench,Nathan Eovaldi,SP,BOS,Lima Time
10,SP,Lance McCullers SP | HOU,71,12,7,0,5,2,0,0,68,24,59,3.30,1.17,318,26.03333333333333,Bench,Lance McCullers,SP,HOU,Lima Time
11,SP,Max Meyer SP | MIA,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,9999,0.0,Bench,Max Meyer,SP,MIA,Lima Time
12,SP,Marcus Stroman SP | CHC,82,14,7,0,4,6,0,0,64,24,77,4.17,1.23,484,37.99333333333333,Bench,Marcus Stroman,SP,CHC,Lima Time
13,RP,Hector Neris RP | HOU,37,0,0,0,1,2,4,1,43,12,26,3.89,1.03,524,15.992222222222223,Bench,Hector Neris,RP,HOU,Lima Time
0,SP,Zac Gallen SP | ARI,98,17,9,0,4,5,0,0,88,34,84,3.58,1.20,323,38.98222222222222,Start,Zac Gallen,SP,ARI,Midnight
1,SP,Lucas Giolito SP | CHW,107,18,9,0,8,4,0,0,112,33,84,3.20,1.09,66,38.044444444444444,Start,Lucas Giolito,SP,CHW,Midnight
2,SP,"Cristian Javier RP,SP | HOU",82,16,5,0,8,4,0,0,88,29,67,3.40,1.17,152,30.977777777777778,Start,Cristian Javier,"RP,SP",HOU,Midnight
3,SP,Robbie Ray SP | SEA,107,17,10,0,8,5,0,0,99,32,93,3.45,1.17,123,41.01666666666667,Start,Robbie Ray,SP,SEA,Midnight
4,SP,"Jeffrey Springs RP,SP | TB",95,19,6,0,5,6,0,0,87,23,83,3.32,1.12,218,35.044444444444444,Start,Jeffrey Springs,"RP,SP",TB,Midnight
5,SP,Julio Urias SP | LAD,101,17,8,0,9,4,0,0,96,25,82,3.03,1.06,63,34.00333333333333,Start,Julio Urias,SP,LAD,Midnight
6,RP,"Nestor Cortes RP,SP | NYY",102,17,7,0,6,5,0,0,96,26,81,2.65,1.05,86,30.033333333333335,Start,Nestor Cortes,"RP,SP",NYY,Midnight
7,RP,Kenley Jansen RP | ATL,39,0,0,0,1,1,22,3,48,14,21,2.54,0.90,136,11.006666666666666,Start,Kenley Jansen,RP,ATL,Midnight
8,RP,Ryan Pressly RP | HOU,36,0,0,0,1,1,24,3,37,9,28,2.25,1.03,157,9.0,Start,Ryan Pressly,RP,HOU,Midnight
9,SP,Graham Ashcraft SP | CIN,96,18,7,0,5,6,0,0,80,29,88,3.84,1.22,346,40.959999999999994,Bench,Graham Ashcraft,SP,CIN,Midnight
10,SP,"Roansy Contreras RP,SP | PIT",102,20,5,0,3,6,0,0,84,36,102,4.76,1.35,654,53.946666666666665,Bench,Roansy Contreras,"RP,SP",PIT,Midnight
11,SP,Tylor Megill SP | NYM,23,5,1,0,2,2,0,0,23,6,21,4.70,1.17,751,12.011111111111111,Bench,Tylor Megill,SP,NYM,Midnight
