Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
Charlie Morton,ATL,11,9,15,3.80339,29,29,0,0,166,701,151,76,70,20,54,11,181,9.83727,2.90895,3.38173,1.062,0.258611,0.076473,0.182137906551361,0.237358,1.23375,0.301907,0.726734,0.433437,,3.63161,2.57691,2.705,161.32000732421875,,,,4676
Patrick Sandoval,LAA,11,9,15,3.71988,29,29,0,0,166,703,152,75,69,19,62,6,166,8.98817,3.36062,2.67456,1.02,0.236289,0.088347,0.1479420736432075,0.240016,1.28931,0.296809,0.741121,0.473674,,3.8199,2.56251,2.60113,223.0,,,,19447
Pablo LÃ³pez,MIN,10,10,16,3.78335,29,29,0,0,171,722,161,78,72,20,50,8,170,8.9358,2.6089,3.42512,1.058,0.235508,0.068759,0.1667489111423492,0.242713,1.23097,0.297632,0.725995,0.445853,,3.67027,2.5447,2.28709,162.41000366210938,,,,17085
Jordan Montgomery,STL,12,9,16,3.67487,31,31,0,0,176,734,168,78,72,21,47,6,156,7.99623,2.39776,3.33487,1.049,0.213055,0.063887,0.1491680219769477,0.247113,1.22209,0.293159,0.733281,0.456731,,3.75908,2.52193,2.86435,160.0,,,,16511
Andrew Heaney,TEX,9,8,13,3.57226,26,26,0,0,140,576,120,60,55,19,38,7,162,10.4293,2.45552,4.24729,1.225,0.281128,0.06619,0.2149379476904869,0.225261,1.1285,0.287405,0.748481,0.369191,,3.53466,2.50847,2.37294,216.63999938964844,,,,15423
Robbie Ray,SEA,12,11,18,3.78047,32,32,0,0,191,798,164,86,80,28,63,6,219,10.3178,2.96327,3.48189,1.325,0.274453,0.078823,0.1956299319863319,0.225574,1.18956,0.282946,0.751132,0.37004,,3.82322,2.50668,2.37423,98.18000030517578,,,,11486
Jon Gray,TEX,10,11,15,3.92875,31,31,0,0,174,736,163,82,76,22,56,7,177,9.1458,2.89856,3.15529,1.13,0.240433,0.0761999,0.1642329320311546,0.24236,1.25812,0.297924,0.726216,0.432745,,3.80513,2.48633,2.1421,191.17999267578125,,,,14916
Kyle Wright,ATL,12,10,17,3.93743,31,31,0,0,184,784,181,88,81,20,60,9,172,8.38582,2.93242,2.8597,0.976,0.21887,0.0765361,0.1423339173197746,0.253133,1.30907,0.307584,0.718508,0.504849,,3.77716,2.43441,2.61807,117.08999633789062,,,,19665
Cristian Javier,HOU,11,9,15,3.99713,29,29,0,0,168,710,139,79,75,25,66,8,203,10.8565,3.54828,3.05965,1.362,0.285887,0.093438,0.1924491301178932,0.218947,1.222,0.279167,0.742692,0.292585,,3.98373,2.32448,2.1516,63.81999969482422,,,,17606
Marcus Stroman,CHC,10,11,15,3.99164,31,31,0,0,178,756,184,86,79,20,48,6,145,7.32846,2.44316,2.99958,1.016,0.192087,0.064038,0.1280490830540657,0.262671,1.30464,0.306132,0.715476,0.499501,,3.86865,2.30574,2.33456,280.6400146484375,,,,13431
George Kirby,SEA,9,8,13,3.59298,26,26,0,0,143,591,133,62,57,17,32,6,137,8.62606,2.04823,4.21146,1.099,0.231466,0.054961,0.1765050701797008,0.241415,1.16271,0.291094,0.734197,0.440358,,3.58474,2.26013,2.04492,999.0,,,,25436
Luis Severino,NYY,10,8,13,3.56147,26,26,0,0,145,604,127,62,57,18,44,6,161,10.0097,2.72755,3.66986,1.129,0.267037,0.0727649,0.194271944463253,0.228756,1.17734,0.289768,0.746831,0.416667,,3.54792,2.25984,2.31043,111.0500030517578,,,,15890
