playerid,Name,Team,G,PA,AB,H,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA
14773,Yu Chang,CLE,99,336,310,74,12,41,45,20,95,4,2,2,0.239,0.292,0.423,0.714,0.306
sa913279,Armando Alvarez,NYY,111,420,384,89,10,51,45,28,81,1,2,1,0.232,0.283,0.365,0.648,0.281
sa3007750,Logan Porter,KCR,70,280,251,57,9,35,30,23,72,4,0,0,0.227,0.301,0.378,0.68,0.298
sa916969,Jesus Bastidas,NYY,77,245,220,48,9,31,31,17,63,4,6,2,0.218,0.284,0.368,0.652,0.285
sa3010845,Chase Strumpf,CHC,79,328,288,58,7,43,30,31,92,5,3,0,0.201,0.287,0.33,0.617,0.274
10815,Jurickson Profar,SDP,131,455,398,96,10,56,47,46,68,7,10,3,0.241,0.328,0.379,0.708,0.311
19552,Jaylin Davis,SFG,107,438,394,87,17,51,49,34,139,6,6,3,0.221,0.291,0.396,0.687,0.297
11615,Brandon Drury,,111,375,346,78,11,37,40,24,90,2,0,0,0.225,0.278,0.376,0.654,0.283
14477,Jake Cave,MIN,109,355,323,79,10,43,38,23,108,6,2,2,0.245,0.305,0.406,0.711,0.307
11155,Elliot Soto,,87,330,301,71,4,38,26,24,75,3,4,2,0.236,0.298,0.336,0.633,0.28
sa3007070,Justin Dean,ATL,102,453,409,87,9,49,34,35,139,9,21,6,0.213,0.289,0.333,0.622,0.276
sa3010332,Braden Shewmake,ATL,87,365,344,79,10,36,37,18,81,2,5,2,0.23,0.271,0.375,0.646,0.279
12907,Gregory Polanco,,113,429,382,88,19,49,56,38,116,3,13,1,0.23,0.301,0.44,0.74,0.314
sa920278,Yariel Gonzalez,ATL,104,412,380,94,14,47,50,25,89,1,2,2,0.247,0.293,0.395,0.688,0.295
sa3014986,Justin Dirden,HOU,88,366,326,67,15,46,49,31,125,5,5,2,0.206,0.283,0.396,0.679,0.294
10762,Corey Dickerson,,102,372,347,92,9,42,36,21,69,2,4,3,0.265,0.309,0.418,0.727,0.311
7859,Charlie Blackmon,COL,132,552,496,137,16,79,68,44,93,8,3,2,0.276,0.342,0.442,0.784,0.337
5497,Marwin Gonzalez,,102,376,340,78,9,37,42,27,88,6,2,2,0.229,0.296,0.35,0.646,0.284
sa3014547,Zach DeLoach,SEA,111,519,478,112,13,60,49,36,131,5,5,3,0.234,0.295,0.372,0.667,0.292
15191,Chad Pinder,OAK,103,315,287,70,10,40,38,21,77,4,1,1,0.244,0.303,0.415,0.717,0.309
11339,Jake Marisnick,,107,253,230,50,7,31,28,14,80,6,6,2,0.217,0.279,0.374,0.653,0.284
19181,Zack Collins,CHW,97,358,302,59,11,40,42,50,123,2,1,0,0.195,0.311,0.358,0.669,0.296
sa3004279,Canaan Smith-Njigba,PIT,94,384,339,78,9,52,38,42,102,1,10,2,0.23,0.316,0.36,0.676,0.298
19608,Otto Lopez,TOR,120,532,486,123,9,73,47,31,101,5,15,5,0.253,0.302,0.368,0.67,0.291
sa1169627,Ivan Johnson,CIN,85,360,333,77,12,39,38,24,107,3,7,4,0.231,0.289,0.39,0.679,0.295
15988,Deivy Grullón,,84,338,305,67,15,38,44,28,112,2,1,0,0.22,0.288,0.407,0.694,0.3
sa3014445,Edouard Julien,MIN,114,521,454,102,13,76,65,61,156,4,15,2,0.225,0.321,0.361,0.682,0.303
14950,Johan Camargo,PHI,122,438,399,103,16,56,52,34,89,3,0,1,0.258,0.32,0.436,0.756,0.325
sa3007747,Mickey Gasper,NYY,83,329,293,61,9,34,30,28,80,5,2,0,0.208,0.287,0.341,0.628,0.276
15994,Kean Wong,,104,418,386,98,7,45,36,24,92,3,7,4,0.254,0.302,0.365,0.667,0.29
19977,Tres Barrera,WSN,89,339,302,67,7,35,32,27,75,5,1,1,0.222,0.294,0.344,0.638,0.28
19334,Yadiel Hernandez,WSN,115,390,355,95,15,48,51,31,88,1,3,2,0.268,0.326,0.439,0.765,0.327
sa3008107,Cesar Salazar,HOU,61,238,215,45,6,23,23,12,55,6,2,1,0.209,0.267,0.335,0.602,0.264
