"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Richie Palacios","CLE","86","351","311","84","20","2","6","46","32","33","63","5","11","2","",".271",".347",".409",".756",".330","","1.1","-2.8","","5.0","-1.5","1.6","24589"
"Jonah Heim","TEX","75","283","258","64","13","0","7","31","31","21","47","2","1","1","",".249",".309",".380",".689",".301","","-0.9","6.0","","-4.2","10.0","1.6","16930"
"Christian Vázquez","BOS","111","402","370","94","17","1","9","42","40","25","73","2","5","4","",".255",".303",".378",".681",".295","","-1.6","4.8","","-10.9","12.7","1.6","9774"
"Nick Ahmed","ARI","108","402","370","90","22","3","9","45","43","28","87","2","5","2","",".244",".298",".394",".692",".297","","0.1","6.5","","-8.9","10.9","1.5","12147"
"Jazz Chisholm Jr.","MIA","109","437","396","94","15","6","17","58","53","33","134","4","18","7","",".238",".301",".436",".737",".315","","0.8","-1.7","","0.8","-0.1","1.5","20454"
"Amed Rosario","CLE","132","536","501","135","23","6","11","67","53","28","105","2","14","4","",".270",".310",".403",".713",".307","","1.3","-4.4","","-3.0","0.0","1.5","15518"
"Gavin Lux","LAD","113","450","401","98","17","5","13","62","58","44","102","2","6","2","",".245",".320",".411",".731",".316","","0.9","-0.6","","0.3","-0.4","1.5","19955"
"Donovan Walton","SEA","80","337","300","77","14","2","9","45","38","24","51","7","2","4","",".256",".324",".403",".726",".316","","-1.6","-0.5","","0.1","3.2","1.5","19314"
"Steven Kwan","CLE","92","400","361","105","17","4","8","51","38","31","44","3","5","4","",".291",".350",".427",".777",".337","","-0.8","-1.1","","5.9","-4.7","1.5","24610"
"Nico Hoerner","CHC","79","293","267","74","12","2","3","30","30","20","42","4","7","4","",".277",".335",".378",".713",".311","","-0.5","5.1","","-3.4","8.4","1.5","21479"
"Austin Hays","BAL","110","456","420","110","24","2","19","58","62","25","95","6","5","4","",".261",".310",".461",".771",".328","","-0.8","1.6","","2.7","-3.6","1.5","19363"
"Andy Ibáñez","TEX","99","390","360","96","19","2","11","48","39","24","60","2","3","2","",".266",".314",".415",".729",".314","","-0.5","4.6","","-0.8","2.1","1.5","18819"
"Tommy Pham","CIN","116","464","399","104","20","2","16","64","48","59","105","3","12","4","",".260",".358",".438",".795",".345","","0.2","-1.4","","6.1","-7.0","1.5","2967"
"David Fletcher","LAA","123","518","482","131","24","4","4","59","35","29","48","2","10","2","",".273",".314",".362",".676",".295","","0.5","2.8","","-9.1","6.0","1.5","17992"
"Eugenio Suárez","SEA","121","494","434","94","18","1","24","56","70","51","144","6","1","1","",".216",".306",".425",".731",".315","","-0.7","-1.8","","1.5","-3.7","1.5","12552"
"Starling Marte","NYM","108","467","425","115","21","2","11","65","52","26","84","13","25","7","",".269",".328",".410",".739",".320","","2.1","-1.5","","5.3","-6.3","1.4","9241"
"J.D. Martinez","BOS","113","490","438","120","29","2","21","64","73","45","114","4","1","0","",".275",".344",".489",".833",".352","","-0.1","-1.7","","11.5","-13.9","1.4","6184"
"Kevin Kiermaier","TBR","101","349","318","73","15","5","6","43","35","25","87","4","8","4","",".229",".293",".372",".665",".288","","0.4","6.7","","-5.7","8.0","1.4","11038"
"Lorenzo Cain","MIL","90","363","326","84","16","0","7","44","28","31","62","4","11","4","",".259",".328",".370",".697",".307","","0.3","5.4","","-4.6","6.7","1.4","9077"
