,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
93,Chris Taylor,LAD,139,600,531,124,74,27,3,20,76,67,57,1,187,8,3,1,8,9,3,0.234473,0.0942449,0.31141,0.302639,0.315265,0.409122,0.317468,0.724387,0.174649,5.05643,0.319559,,0.078386,72.2683,3.67848,106.064,0.078386,-0.21,4.304497450590134,-0.8228747993707657,2.48078,316.8599853515625,,,,13757
94,William Contreras,MIL,118,471,424,103,65,19,1,18,54,58,41,1,126,4,3,1,10,1,0,0.242874,0.0862412,0.267142,0.322829,0.313069,0.422471,0.320695,0.735539,0.179597,2.47938,0.299486,,-0.418276,58.0089,4.09922,106.117,-0.418276,0.37,2.932461827993393,4.68549120426178,2.46237,121.4499969482422,,,,20503
95,Harrison Bader,NYY,130,557,506,120,78,22,3,16,67,55,36,1,125,10,4,1,8,20,5,0.236258,0.0648771,0.2246,0.288857,0.298315,0.388698,0.300839,0.687013,0.15244,6.16847,0.280256,,1.38866,59.7244,-3.93785,96.118,1.38866,4.78,-1.0434409379959106,6.786172866821289,2.46134,168.27000427246094,,,,18030
96,Jake Cronenworth,SDP,143,616,543,135,87,27,4,18,74,70,58,2,111,9,4,1,12,4,1,0.249565,0.0934719,0.179567,0.520541,0.329533,0.412676,0.324858,0.742209,0.163111,4.22924,0.280389,,-0.269203,77.8295,7.39265,113.194,-0.269203,1.31,9.173677027225494,-6.514073848724365,2.45144,196.63999938964844,,,,18036
97,Bryce Harper,PHI,78,333,281,79,44,16,1,16,49,48,46,5,70,3,3,1,6,6,2,0.279712,0.137563,0.210814,0.652533,0.383174,0.521768,0.385262,0.904942,0.242056,4.54261,0.31605,,0.0152814,58.1034,19.9889,149.278,0.0152814,-0.21,19.09909030515701,-7.231605008244514,2.42145,170.27000427246094,,,,11579
98,RamÃ³n UrÃ­as,BAL,126,537,483,117,77,23,1,15,58,58,39,0,126,9,3,2,11,2,1,0.241594,0.0725376,0.234672,0.309102,0.308384,0.389487,0.307311,0.697871,0.147893,3.25441,0.294162,,-0.41908,60.3366,-1.03761,100.146,-0.41908,4.73,-0.3311602026224136,6.026296257972717,2.38956,385.0899963378906,,,,18795
99,Gavin Lux,LAD,130,558,500,127,86,26,3,12,68,56,52,2,118,2,3,0,11,8,2,0.253535,0.0927182,0.211742,0.437882,0.324434,0.389713,0.313935,0.714148,0.136178,4.8807,0.307792,,0.110102,65.6607,1.85619,103.649,0.110102,-2.51,2.475711591541767,1.4521913528442385,2.38007,227.2700042724609,,,,19955
100,Thairo Estrada,SFG,134,574,526,137,98,24,3,12,69,55,34,0,102,10,4,1,12,16,5,0.260564,0.0583551,0.177539,0.328689,0.31469,0.386773,0.308597,0.701463,0.126209,5.69506,0.300877,,0.699969,65.1567,-0.524103,100.015,0.699969,-0.72,0.7101785046979785,2.3943090438842773,2.35148,174.08999633789062,,,,16426
101,Ha-Seong Kim,SDP,122,525,471,111,73,23,2,13,60,52,42,0,98,5,3,2,9,9,3,0.235451,0.0804668,0.186598,0.431232,0.303671,0.376321,0.299824,0.679993,0.140871,4.66953,0.269309,,0.2883,55.8948,-4.13658,96.083,0.2883,4.53,-2.100924402475357,6.663744926452637,2.33037,264.32000732421875,,,,27506
102,Alec Bohm,PHI,146,625,576,155,110,28,2,16,72,70,39,0,119,5,5,1,14,4,1,0.269759,0.0620749,0.190108,0.326524,0.318358,0.406354,0.316786,0.724712,0.136595,3.50558,0.313266,,-0.451978,74.959,3.49433,102.475,-0.451978,-2.17,1.3452438116073608,-0.217325210571289,2.32231,187.67999267578125,,,,21618
