Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,ADP,InterSD,InterSK,IntraSD,playerid
Starlin Castro,,53,215,199,54,10,1,5,23,25,13,39,1,1,0,0.269,0.315,0.409,0.724,0.311,91,0.4,599.5,3.09,0.97,1.39,4579
Edward Olivares,KCR,42,159,145,38,7,1,5,19,17,10,30,2,4,1,0.26,0.314,0.429,0.743,0.319,100,0.4,578.8,6.32,1.48,1.58,19698
Nolan Jones,CLE,45,179,157,36,8,1,5,21,19,19,58,1,2,1,0.23,0.319,0.394,0.714,0.311,96,0.4,592.4,4.13,-0.33,1.33,sa917941
Dominic Smith,NYM,107,402,363,94,20,1,14,46,54,29,91,6,1,1,0.258,0.319,0.437,0.756,0.324,104,0.4,444.7,2.35,-0.56,0.58,15653
Yoshi Tsutsugo,PIT,119,464,404,92,20,1,17,55,57,54,118,3,0,0,0.227,0.321,0.409,0.731,0.318,99,0.4,378.9,3.32,0.01,0.37,27459
Travis Swaggerty,PIT,41,167,149,35,7,1,4,19,16,15,40,1,5,1,0.236,0.308,0.372,0.68,0.297,85,0.4,593,3.15,1.83,1.53,sa3007512
Matt Vierling,PHI,97,346,314,80,15,2,9,38,37,24,80,4,8,2,0.254,0.312,0.398,0.711,0.307,89,0.4,565.8,7.82,-1.07,1.08,21558
Jackie Bradley Jr.,BOS,78,299,267,58,14,1,7,33,29,25,80,5,5,2,0.217,0.294,0.358,0.653,0.286,75,0.4,581.7,2.68,1.93,0.93,12984
Juan Yepez,STL,55,221,199,50,11,0,9,26,29,18,48,2,1,1,0.251,0.319,0.447,0.766,0.328,106,0.4,494.2,5.03,-0.54,1.15,sa877505
Brett Phillips,TBR,67,211,183,36,6,2,8,28,24,23,76,1,9,2,0.197,0.29,0.383,0.674,0.292,82,0.4,596.2,3.4,0.85,1.31,14735
Willi Castro,DET,43,169,154,38,7,2,4,20,17,9,40,3,3,2,0.248,0.297,0.401,0.698,0.3,89,0.4,533.5,7.41,0.45,1.48,17338
Mauricio Dubón,SFG,37,136,125,32,6,0,3,15,14,8,25,1,2,1,0.258,0.304,0.393,0.697,0.301,88,0.3,589.2,4.2,2.75,1.63,16530
Robinson Chirinos,,33,114,98,21,4,0,4,13,13,11,34,3,0,0,0.213,0.308,0.381,0.689,0.303,89,0.3,598,1.72,-0.23,1.48,3142
